"from","to","type","text"
"Y","LIMIT_BAL","directed","Y -> LIMIT_BAL"
"Y","PAY_AMT2","directed","Y -> PAY_AMT2"
"PPP","Y","directed","PPP -> Y"
"AGE","PPP","undirected","AGE -- PPP"
"LIMIT_BAL","EDU_ORD","directed","LIMIT_BAL -> EDU_ORD"
"LIMIT_BAL","PAY_AMT3","directed","LIMIT_BAL -> PAY_AMT3"
"LIMIT_BAL","PAY_AMT5","directed","LIMIT_BAL -> PAY_AMT5"
"AGE","EDU_ORD","directed","AGE -> EDU_ORD"
"PAY_0","Y","directed","PAY_0 -> Y"
"PAY_2","PAY_0","directed","PAY_2 -> PAY_0"
"PAY_2","PAY_5","directed","PAY_2 -> PAY_5"
"PAY_3","PAY_0","directed","PAY_3 -> PAY_0"
"PAY_3","PAY_2","directed","PAY_3 -> PAY_2"
"PAY_3","PAY_4","undirected","PAY_3 -- PAY_4"
"PAY_3","PAY_6","directed","PAY_3 -> PAY_6"
"PAY_4","PAY_5","directed","PAY_4 -> PAY_5"
"PAY_5","PAY_6","directed","PAY_5 -> PAY_6"
"PAY_5","BILL_AMT4","directed","PAY_5 -> BILL_AMT4"
"PAY_6","BILL_AMT5","directed","PAY_6 -> BILL_AMT5"
"BILL_AMT1","PAY_2","directed","BILL_AMT1 -> PAY_2"
"BILL_AMT1","BILL_AMT2","directed","BILL_AMT1 -> BILL_AMT2"
"BILL_AMT1","BILL_AMT3","directed","BILL_AMT1 -> BILL_AMT3"
"BILL_AMT2","BILL_AMT3","directed","BILL_AMT2 -> BILL_AMT3"
"BILL_AMT2","BILL_AMT5","directed","BILL_AMT2 -> BILL_AMT5"
"BILL_AMT2","PAY_AMT1","directed","BILL_AMT2 -> PAY_AMT1"
"BILL_AMT3","BILL_AMT4","directed","BILL_AMT3 -> BILL_AMT4"
"BILL_AMT3","PAY_AMT2","directed","BILL_AMT3 -> PAY_AMT2"
"BILL_AMT4","BILL_AMT5","directed","BILL_AMT4 -> BILL_AMT5"
"BILL_AMT4","BILL_AMT6","directed","BILL_AMT4 -> BILL_AMT6"
"BILL_AMT4","PAY_AMT3","directed","BILL_AMT4 -> PAY_AMT3"
"BILL_AMT5","BILL_AMT6","directed","BILL_AMT5 -> BILL_AMT6"
"BILL_AMT5","PAY_AMT4","directed","BILL_AMT5 -> PAY_AMT4"
"BILL_AMT6","PAY_AMT5","directed","BILL_AMT6 -> PAY_AMT5"
"PAY_AMT1","PAY_AMT3","directed","PAY_AMT1 -> PAY_AMT3"
"PAY_AMT1","PAY_AMT4","directed","PAY_AMT1 -> PAY_AMT4"
"PAY_AMT2","PAY_AMT4","directed","PAY_AMT2 -> PAY_AMT4"
"PAY_AMT2","PAY_AMT5","directed","PAY_AMT2 -> PAY_AMT5"
"PAY_AMT3","PAY_AMT5","directed","PAY_AMT3 -> PAY_AMT5"
"PAY_AMT6","LIMIT_BAL","directed","PAY_AMT6 -> LIMIT_BAL"
"PAY_AMT6","PAY_AMT4","directed","PAY_AMT6 -> PAY_AMT4"
